pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
83.82,-35.6,-90.0,top,C1,,,CP_Radial_D6.3mm_P2.50mm,10uF,tht
99.06,-38.1,90.0,top,C2,,,CP_Radial_D6.3mm_P2.50mm,10uF,tht
78.74,-52.8,90.0,top,C3,,,C_Radial_D5.0mm_H5.0mm_P2.00mm,1uF,tht
114.3,-33.02,-90.0,top,C4,,,CP_Radial_D6.3mm_P2.50mm,10uF,tht
132.08,-40.64,90.0,top,C5,,,CP_Radial_D6.3mm_P2.50mm,10uF,tht
78.74,-81.28,180.0,top,J1,,,PinHeader_1x05_P2.54mm_Vertical,J_CAN,tht
73.66,-39.37,-90.0,top,J2,,,TerminalBlock_bornier-2_P5.08mm,12V_IN,tht
127.0,-45.72,0.0,top,J3,,,PinHeader_1x06_P2.54mm_Vertical,LED_OUT_LR,tht
105.41,-83.82,180.0,top,J4,,,PinHeader_1x05_P2.54mm_Vertical,J_UART,tht
105.41,-68.58,180.0,top,J5,,,PinHeader_1x05_P2.54mm_Vertical,J_UART2,tht
127.0,-66.04,0.0,top,J6,,,PinHeader_1x06_P2.54mm_Vertical,LED_OUT_XY,tht
106.68,-53.34,90.0,top,Q2,,,TO-92_Inline,BS170,tht
106.68,-38.1,90.0,top,Q3,,,TO-220-3_Vertical,IRF9540N / SUP75-P03,tht
91.44,-45.72,180.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,100k,tht
78.74,-55.88,-90.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4k7,tht
96.52,-45.72,0.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,22k,tht
113.03,-39.37,-90.0,top,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,100k,tht
118.11,-39.37,-90.0,top,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,100k,tht
115.57,-63.5,90.0,top,R7,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,100,tht
120.65,-63.5,90.0,top,R8,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,100,tht
92.71,-69.85,90.0,top,U1,,,Teensy40,Teensy4.0,tht
91.44,-33.02,-90.0,top,U2,,,TO-220-3_Vertical,LM7805_TO220,tht
121.92,-83.82,180.0,top,U3,,,CERDIP-14_W7.62mm_SideBrazed_LongPads_Socket,74125,tht
121.92,-33.02,-90.0,top,U4,,,TO-220-3_Vertical,LM7805_TO220,tht
